Gene	SGD	UniProt	CC527	CC518	CC516	CC522	CC526	CC525	CC523	CC517	CC530	CC519	CC524	CC528	CC520	CC515	CC529	CC531	CC521
RPL13B	S000004750	RL13B_YEAST	21	14	24	3	3	5	4	14	10	5	3	9	5	8	5	14	2
YNL247W	S000005191	SYC_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOL103W-B	S000007350	YO11B_YEAST	17	8	0	1	3	1	0	9	26	3	1	6	0	0	0	57	6
YOL103W-A	S000007349	YO11A_YEAST	16	8	0	1	3	1	0	9	8	3	1	3	0	0	0	20	2
STI1	S000005553	STI1_YEAST	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
LPD1	S000001876	DLDH_YEAST	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL36A	S000004807	RL36A_YEAST	23	0	28	1	2	0	0	3	10	3	0	3	2	8	3	11	2
RPL36B	S000006438	RL36B_YEAST	23	0	28	2	2	2	0	3	12	5	0	3	4	8	3	12	4
TAL1	S000004346	TAL1_YEAST	2	0	12	0	0	0	0	10	12	0	0	0	0	5	0	0	0
RPS20	S000001007	RS20_YEAST	3	8	27	5	8	8	4	12	12	2	2	3	4	24	0	28	1
sp|K1C10_HUMAN|	-	-	9	3	0	5	0	1	0	14	13	5	1	13	19	0	16	89	4
FPR4	S000004441	FKBP4_YEAST	1	0	21	1	0	0	1	0	3	0	0	2	1	0	2	3	2
YML045W	S000004508	YM11B_YEAST	17	8	2	1	3	1	0	9	28	3	1	6	0	0	0	57	7
YMR051C	S000004654	YD14A_YEAST;YE12A_YEAST;YG13A_YEAST;YL11A_YEAST;YM14A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
EGD1	S000005958	NACB1_YEAST	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EGD2	S000001236	NACA_YEAST	1	3	0	0	0	0	0	1	5	0	0	0	0	0	0	2	0
VMA1	S000002344	VATA_YEAST	3	3	9	0	0	0	0	9	21	0	0	0	0	1	0	15	1
VMA2	S000000331	VATB_YEAST	11	5	16	0	4	1	0	6	53	0	0	0	0	8	0	67	0
RPL21A	S000000395	RL21A_YEAST	14	20	6	0	2	6	2	14	4	0	1	5	2	3	1	5	2
RPL21B	S000006000	RL21B_YEAST	9	20	6	0	2	6	2	14	4	0	1	5	2	3	1	5	2
SSE1	S000006027	HSP7F_YEAST	7	4	6	0	0	0	1	17	18	0	0	0	0	0	2	20	0
SSE2	S000000373	HSP79_YEAST	1	0	3	0	0	0	0	6	5	0	0	0	0	0	0	4	0
YJR029W	S000003790	YJ12B_YEAST	17	8	2	1	3	1	0	9	27	3	1	5	0	0	0	58	7
NPL3	S000002840	NOP3_YEAST	4	0	0	70	31	38	14	0	140	122	13	72	249	0	30	212	44
MAP1	S000004234	AMPM1_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVS161	S000000602	RV161_YEAST	1	0	0	0	0	0	0	0	6	1	0	0	0	0	0	14	0
NIP1	S000004926	EIF3C_YEAST	4	0	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0
RPL28	S000003071	RL28_YEAST	17	1	39	3	4	1	1	5	7	3	2	4	1	26	3	7	1
IPP1	S000000215	IPYR_YEAST	1	8	14	0	0	0	0	14	0	0	0	0	0	16	0	0	0
RPL25	S000005487	RL25_YEAST	10	16	23	3	4	5	7	11	11	3	6	8	6	19	2	11	3
PDB1	S000000425	ODPB_YEAST	6	0	0	0	0	0	0	2	3	0	0	0	0	0	0	2	1
ARO10	S000002788	ARO10_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAM2	S000002910	METK2_YEAST	2	4	2	1	1	0	0	3	35	1	0	3	0	0	2	31	1
POR1	S000005000	VDAC1_YEAST	1	0	0	0	0	0	0	4	4	1	0	0	0	0	0	5	1
RPL2A	S000002104	RL2A_YEAST;RL2B_YEAST	19	6	3	0	8	6	4	9	15	2	4	4	2	9	2	20	1
RPL2B	S000001280	RL2A_YEAST;RL2B_YEAST	19	6	3	0	8	6	4	9	15	2	4	4	2	9	2	20	1
ARC1	S000003073	G4P1_YEAST	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
RPO31	S000005642	RPC1_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CDC60	S000006081	SYLC_YEAST	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
SNU13	S000000752	SNU13_YEAST	4	8	64	5	4	1	0	0	11	5	1	24	14	77	10	17	4
LAT1	S000005015	ODP2_YEAST	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RPS11B	S000000252	RS11A_YEAST;RS11B_YEAST	15	1	22	3	2	0	2	6	10	1	2	1	2	28	3	9	2
RPS11A	S000002432	RS11A_YEAST;RS11B_YEAST	15	1	22	3	2	0	2	6	10	1	2	1	2	28	3	9	2
TIF35	S000002837	EIF3G_YEAST	1	0	0	1	1	0	0	0	3	0	0	0	0	0	0	5	0
TIF34	S000004754	EIF3I_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
HSC82	S000004798	HSC82_YEAST	27	66	233	1	8	13	0	54	37	4	1	7	3	146	2	50	2
RPS6B	S000000385	RS6A_YEAST;RS6B_YEAST	34	24	47	3	10	7	12	32	16	3	10	10	4	46	7	19	5
RPS6A	S000006011	RS6A_YEAST;RS6B_YEAST	34	24	47	3	10	7	12	32	16	3	10	10	4	46	7	19	5
TYS1	S000003417	SYYC_YEAST	2	0	0	0	2	2	0	0	2	0	0	0	1	0	0	2	1
ASN2	S000003356	ASNS2_YEAST	1	0	0	1	0	0	0	1	4	1	0	0	0	0	0	2	0
LSG1	S000003067	LSG1_YEAST	1	0	0	1	0	0	0	0	2	1	0	4	0	0	4	12	0
SAH1	S000000845	SAHH_YEAST	1	3	2	0	0	0	0	6	2	0	0	0	0	0	0	0	0
SBP1	S000001026	SSBP1_YEAST	1	0	0	3	1	2	2	0	16	2	0	3	1	0	4	11	3
ASN1	S000006349	ASNS1_YEAST	1	0	0	1	1	0	0	1	12	3	1	1	2	0	0	22	0
KRS1	S000002444	SYKC_YEAST	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	3	0
RPS18A	S000002858	RS18A_YEAST;RS18B_YEAST	5	24	55	4	6	6	2	18	9	3	2	7	2	37	6	20	2
RPS18B	S000004488	RS18A_YEAST;RS18B_YEAST	5	24	55	4	6	6	2	18	9	3	2	7	2	37	6	20	2
XRN1	S000003141	XRN1_YEAST	2	0	0	8	1	1	4	0	31	8	4	3	8	0	2	16	14
RPL31A	S000002233	RL31A_YEAST	15	3	58	3	5	5	0	6	8	3	0	12	5	67	6	13	4
RPL31B	S000004398	RL31B_YEAST	15	3	40	3	3	3	0	3	8	1	0	10	3	46	4	13	2
RPS2	S000003091	RS2_YEAST	27	25	82	1	6	5	4	21	28	1	3	1	1	71	0	27	0
YML045W-A	S000007381	YM11A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
YDR261C-D	S000007395	YD13B_YEAST	16	8	2	1	3	1	0	9	27	3	1	5	0	0	0	55	7
SSA1	S000000004	HSP71_YEAST	48	90	284	3	11	5	3	74	111	12	4	24	10	247	16	113	9
SSA3	S000000171	HSP73_YEAST	14	22	84	1	3	3	0	22	35	3	0	7	2	70	4	43	1
RPL5	S000006052	RL5_YEAST	17	30	30	1	14	7	4	23	35	2	0	6	5	20	3	34	5
SSA4	S000000905	HSP74_YEAST	21	29	101	1	1	0	0	27	35	3	0	4	3	86	4	47	2
THS1	S000001340	SYTC_YEAST	3	3	9	1	0	0	0	3	5	0	0	0	0	0	0	8	0
KRI1	S000005252	KRI1_YEAST	1	0	100	9	0	0	0	0	24	9	3	9	9	189	20	24	6
GSP2	S000005711	GSP2_YEAST	1	4	35	0	1	1	0	7	1	0	0	0	0	2	0	4	0
GSP1	S000004284	GSP1_YEAST	1	4	35	0	1	1	0	7	1	0	0	0	0	2	0	4	0
NCP1	S000001084	NCPR_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIS1	S000000288	C1TM_YEAST	4	0	0	2	0	0	1	0	4	1	1	1	1	0	0	5	3
RPS16B	S000002241	RS16A_YEAST;RS16B_YEAST	6	24	69	5	15	7	2	9	29	3	3	13	4	52	3	27	8
RPL17A	S000001663	RL17A_YEAST	34	9	28	3	7	9	4	11	22	2	0	9	4	24	6	18	2
RPL17B	S000003713	RL17B_YEAST	18	6	25	1	9	9	3	8	21	3	0	9	2	19	4	17	2
RPS16A	S000004751	RS16A_YEAST;RS16B_YEAST	6	24	69	5	15	7	2	9	29	3	3	13	4	52	3	27	8
YLR157C-A	S000007373	YD15A_YEAST;YE11A_YEAST;YL12A_YEAST;YP11A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
YLR157C-B	S000007374	YL12B_YEAST	16	8	2	1	3	1	0	9	28	3	1	6	0	0	0	58	7
RPL6A	S000004538	RL6A_YEAST	30	17	57	2	3	4	5	16	6	0	0	3	2	47	3	14	2
RPL6B	S000004440	RL6B_YEAST	32	17	62	4	3	6	4	19	6	4	2	4	4	48	3	8	2
MET6	S000000893	METE_YEAST	3	2	3	0	0	0	0	0	14	0	0	0	0	0	0	1	0
CHC1	S000003174	CLH_YEAST	11	0	0	0	1	0	0	1	4	0	0	0	0	0	0	7	0
SIS1	S000004952	SIS1_YEAST	2	20	0	0	0	0	0	4	5	0	0	0	0	0	0	4	1
EFB1	S000000003	EF1B_YEAST	14	14	13	0	0	0	0	10	4	0	0	0	0	6	0	1	0
GSF2	S000004511	GSF2_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
RPL35A	S000002350	RL35A_YEAST;RL35B_YEAST	9	2	1	1	0	0	0	3	5	1	0	1	1	0	2	11	1
YDR098C-A	S000007390	YD11A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
PMA2	S000005957	PMA2_YEAST	3	5	13	6	5	6	1	13	43	10	1	7	16	5	2	54	11
PMA1	S000002976	PMA1_YEAST	4	5	13	11	5	7	2	15	51	12	2	8	20	5	2	62	15
YMR050C	S000004653	YM14B_YEAST	17	8	2	1	3	1	0	9	27	3	1	5	0	0	0	57	7
YLR256W-A	S000007377	YL14A_YEAST	16	8	2	1	3	1	0	9	10	3	1	3	0	0	0	21	3
PRT1	S000005888	EIF3B_YEAST	2	0	0	0	1	0	0	0	4	0	0	0	0	0	0	11	0
YGR169C-A	S000028521	YG169_YEAST	2	0	0	2	0	0	0	0	3	0	0	2	0	0	0	2	0
RPL22A	S000004051	RL22A_YEAST	6	3	16	3	3	2	3	4	10	3	2	4	3	13	3	6	4
RPA49	S000005192	RPA49_YEAST	1	0	19	2	2	1	3	0	21	2	1	9	3	9	5	20	4
TRP5	S000002994	TRP_YEAST	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0
SSA2	S000003947	HSP72_YEAST	56	97	297	6	15	10	5	78	115	11	9	30	11	262	18	121	6
FAS2	S000006152	FAS2_YEAST	25	1	4	0	0	0	0	3	34	0	0	0	1	0	0	34	0
FAS1	S000001665	FAS1_YEAST	26	2	11	0	2	2	0	12	25	0	0	0	0	3	0	21	0
RPL3	S000005589	RL3_YEAST	30	8	14	10	13	10	14	13	16	12	8	18	6	14	9	34	9
RPP0	S000004332	RLA0_YEAST	24	20	71	5	8	6	4	27	22	6	4	5	6	63	5	22	6
SRO9	S000000542	SRO9_YEAST	2	0	0	2	3	2	3	0	11	4	2	4	3	0	4	16	3
ADH2	S000004918	ADH2_YEAST	10	46	242	0	0	0	0	24	12	0	0	0	0	163	0	9	0
IMD4	S000004520	IMDH4_YEAST	26	0	0	6	0	0	0	2	26	3	0	12	4	0	4	24	4
IMD2	S000001259	IMDH2_YEAST	27	0	0	3	0	1	1	1	31	2	1	6	4	0	2	19	5
IMD3	S000004424	IMDH3_YEAST	44	0	0	5	0	1	1	2	42	3	1	10	7	0	4	26	6
IMD1	S000000095	IMDH1_YEAST	17	0	0	3	0	1	1	1	23	2	1	5	4	0	2	9	5
GRS1	S000000325	SYG_YEAST	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
ALA1	S000005862	SYA_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
RPS13	S000002471	RS13_YEAST	13	27	178	5	3	6	2	23	31	5	0	3	4	230	2	41	3
RPS12	S000005896	RS12_YEAST	6	24	63	3	3	1	2	16	6	3	2	2	3	22	1	12	2
RPS23B	S000006336	RS23A_YEAST;RS23B_YEAST	5	9	34	0	0	0	0	6	0	0	0	0	0	89	0	0	1
TMA7	S000007246	TMA7_YEAST	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0
RPS15	S000005400	RS15_YEAST	11	26	33	6	12	5	5	18	13	5	6	19	5	17	4	22	5
RPS23A	S000003350	RS23A_YEAST;RS23B_YEAST	5	9	34	0	0	0	0	6	0	0	0	0	0	89	0	0	1
PDC5	S000004124	PDC5_YEAST	5	43	32	0	0	0	0	28	3	0	0	0	0	18	0	2	0
MRT4	S000001492	MRT4_YEAST	2	0	0	1	0	0	1	0	5	1	2	2	3	1	5	4	1
YAR009C	S000000067	YA11B_YEAST	1	0	0	0	0	0	0	0	14	1	0	3	0	0	0	26	3
RPB10	S000005736	RPAB5_YEAST	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0
YGR210C	S000003442	YG4I_YEAST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHP1	S000004099	AHP1_YEAST	2	35	33	0	0	0	0	23	10	1	0	0	0	23	0	0	0
TSR1	S000002218	TSR1_YEAST	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VMA10	S000002100	VATG_YEAST	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
YGR161C-C	S000007367	YD14A_YEAST;YE12A_YEAST;YG13A_YEAST;YL11A_YEAST;YM14A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
TMA20	S000002957	TMA20_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
SSB1	S000002388	HSP75_YEAST	40	60	102	13	17	11	7	78	90	10	5	37	18	98	21	118	13
SSB2	S000005153	HSP76_YEAST	39	60	100	12	18	12	7	78	91	11	7	38	17	93	21	122	12
YDR261C-C	S000007394	TY1A_YEASX;YD13A_YEAST	16	8	2	1	3	1	0	9	10	2	1	3	0	0	0	21	3
GND2	S000003488	6PGD2_YEAST	1	9	7	0	0	0	0	3	0	0	0	0	0	6	0	0	0
GND1	S000001226	6PGD1_YEAST	1	19	26	0	0	0	0	19	11	0	0	0	0	24	0	0	0
RPS24B	S000001331	RS24A_YEAST;RS24B_YEAST	20	15	12	0	1	0	0	23	1	0	0	0	0	17	0	5	1
RPS24A	S000000876	RS24A_YEAST;RS24B_YEAST	20	15	12	0	1	0	0	23	1	0	0	0	0	17	0	5	1
LEU1	S000002977	LEUC_YEAST	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTA2	S000000099	H2A2_YEAST	1	31	187	2	1	1	0	11	2	2	0	8	4	254	4	2	2
HTA1	S000002633	H2A1_YEAST	1	31	187	2	1	1	0	11	2	2	0	8	4	254	4	2	2
IKI3	S000004376	ELP1_YEAST	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
SUP35	S000002579	ERF3_YEAST	2	0	0	0	2	1	1	0	13	0	2	0	1	0	0	13	0
KAR2	S000003571	GRP78_YEAST	5	7	23	3	0	0	0	4	16	1	0	0	4	17	3	19	2
RPL38	S000004317	RL38_YEAST	7	8	148	0	0	0	0	3	3	0	0	2	0	160	0	12	0
RPL39	S000003725	RL39_YEAST	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDC1	S000004034	PDC1_YEAST	33	259	613	1	3	4	0	135	65	2	0	6	3	544	1	27	3
SPN1	S000006337	IWS1_YEAST	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL32	S000000188	RL32_YEAST	27	2	20	2	1	4	0	9	4	4	0	3	3	12	2	3	2
RPL30	S000002998	RL30_YEAST	10	14	11	1	2	2	0	7	9	1	0	4	1	3	0	12	1
PDC6	S000003319	PDC6_YEAST	5	54	72	0	0	0	0	37	3	0	0	0	0	60	0	1	0
RPS1B	S000004528	RS3A2_YEAST	21	19	105	3	2	3	0	21	21	0	0	8	2	51	2	39	3
RPS1A	S000004433	RS3A1_YEAST	18	18	93	3	2	3	0	17	24	0	0	8	3	42	0	41	4
YGR161C-D	S000007368	YG13B_YEAST	17	8	2	1	3	1	0	9	22	3	1	3	0	0	0	47	7
NEW1	S000006147	NEW1_YEAST	5	5	0	2	4	2	0	0	49	0	0	3	4	0	2	79	2
RPL12B	S000002826	RL12A_YEAST;RL12B_YEAST	18	15	23	3	4	4	4	17	21	2	3	8	8	10	3	38	4
RPL12A	S000000780	RL12A_YEAST;RL12B_YEAST	18	15	23	3	4	4	4	17	21	2	3	8	8	10	3	38	4
MAL33	S000000501	MAL33_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTZ1	S000005372	H2AZ_YEAST	0	9	157	1	0	0	0	4	1	1	0	2	3	216	1	1	1
ATP19	S000007339	ATP19_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP15	S000006192	ATP5E_YEAST	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
HMF1	S000000859	HMF1_YEAST	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
UBC4	S000000286	UBC4_YEAST	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
TRR1	S000002761	TRXB1_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR099C	S000004705	YMY9_YEAST	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RPS27B	S000001063	RS27B_YEAST	0	21	2	0	0	1	0	2	2	1	0	0	1	0	0	1	1
RPS27A	S000001639	RS27_YEAST	0	21	2	0	0	1	0	2	2	1	0	0	1	0	0	1	1
HHT1	S000000214	H3_YEAST	0	4	54	2	0	0	0	4	1	1	0	1	1	75	1	2	1
HHT2	S000004976	H3_YEAST	0	4	54	2	0	0	0	4	1	1	0	1	1	75	1	2	1
GIS2	S000005199	GIS2_YEAST	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
CPR5	S000002712	CYPD_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADO1	S000003866	ADK_YEAST	0	10	9	0	0	0	0	6	12	0	0	0	0	5	0	0	0
UBI4	S000003962	UBI4P_YEAST	0	5	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
CPR1	S000002562	CYPH_YEAST	0	35	63	0	0	0	0	26	10	0	0	0	0	59	0	7	0
ARO8	S000003170	ARO8_YEAST	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL40B	S000001802	RL401_YEAST;RL402_YEAST	0	5	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
SPB1	S000000559	SPB1_YEAST	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1
SES1	S000002430	SYSC_YEAST	0	1	5	0	0	0	0	1	3	0	0	0	0	0	0	1	0
CSE1	S000003207	CSE1_YEAST	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SAR1	S000006139	SAR1_YEAST	0	4	0	0	2	2	0	2	4	1	0	0	1	0	0	7	1
ARF2	S000002296	ARF2_YEAST	0	20	0	0	0	0	0	9	5	0	0	1	0	0	0	10	0
ARF1	S000002351	ARF1_YEAST	0	31	0	0	0	0	0	12	7	0	0	1	0	0	0	11	0
HHF2	S000004975	H4_YEAST	0	2	25	6	9	2	4	8	9	5	6	10	6	40	9	16	5
HHF1	S000000213	H4_YEAST	0	2	25	6	9	2	4	8	9	5	6	10	6	40	9	16	5
RNR4	S000003412	RIR4_YEAST	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PDR1	S000002981	PDR1_YEAST	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
YNL208W	S000005152	YNU8_YEAST	0	11	0	0	0	0	0	0	14	0	0	0	0	0	0	31	0
CAF120	S000005222	CA120_YEAST	0	5	0	0	1	0	0	2	2	0	0	0	0	0	0	3	0
SMD1	S000003306	SMD1_YEAST	0	4	0	0	0	0	0	1	0	1	0	0	1	2	0	1	1
sp|ALBU_HUMAN|	-	-	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
STE12	S000001126	STE12_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
IRC21	S000004677	IRC21_YEAST	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYS3	S000000010	CYS3_YEAST	0	5	6	0	0	0	0	5	4	0	0	0	0	0	0	1	0
VPS28	S000005986	VPS28_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADK1	S000002634	KAD1_YEAST	0	8	30	0	0	0	0	16	5	0	0	0	0	5	0	1	0
ACB1	S000003269	ACBP_YEAST	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISA1	S000003950	ISA1_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADE6	S000003293	PUR4_YEAST	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILV5	S000004347	ILV5_YEAST	0	13	50	0	0	0	0	22	7	0	1	0	0	1	0	5	0
ILV3	S000003777	ILV3_YEAST	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
YHB1	S000003466	FHP_YEAST	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
PBP1	S000003410	PBP1_YEAST	0	3	0	1	0	2	3	1	11	0	4	1	1	0	2	10	1
SPE3	S000006273	SPEE_YEAST	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
YCR087C-A	S000007223	YC16_YEAST	0	3	32	1	0	0	0	0	2	0	0	2	2	84	1	2	2
RPN8	S000005787	RPN8_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
RSM18	S000000852	RSM18_YEAST	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
YHR020W	S000001062	YHI0_YEAST	0	1	0	1	0	2	0	0	21	0	0	0	0	0	0	30	0
MMF1	S000001313	MMF1_YEAST	0	9	10	0	0	0	0	11	1	0	0	0	0	13	0	1	0
MSB1	S000005714	MSB1_YEAST	0	15	0	1	0	0	0	5	1	0	0	0	0	0	0	2	0
HOR2	S000000864	GPP2_YEAST	0	12	17	0	0	0	0	7	4	0	0	0	0	16	0	1	0
RPL40A	S000001410	RL401_YEAST;RL402_YEAST	0	5	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0
NOP58	S000005837	NOP58_YEAST	0	1	146	42	36	31	25	0	149	56	26	121	79	162	63	178	51
NOP56	S000004187	NOP56_YEAST	0	2	165	89	53	26	26	0	216	65	30	164	213	183	94	230	63
YMR178W	S000004790	YM44_YEAST	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMD1	S000000313	CALM_YEAST	0	1	1	0	0	1	0	3	4	0	0	0	0	0	0	2	0
LSM4	S000000914	LSM4_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NTF2	S000000811	NTF2_YEAST	0	2	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ERG13	S000004595	HMCS_YEAST	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC26	S000002646	COPB_YEAST	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	10	0
ZEO1	S000005469	ZEO1_YEAST	0	1	5	0	0	0	0	3	11	0	0	0	0	2	0	1	0
THI3	S000002238	THI3_YEAST	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
COF1	S000003973	COFI_YEAST	0	1	11	0	0	0	0	1	1	0	0	0	0	1	0	0	0
TKL1	S000006278	TKT1_YEAST	0	2	0	0	0	0	0	5	8	0	0	0	0	0	0	1	0
TPI1	S000002457	TPIS_YEAST	0	9	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0
HXK2	S000003222	HXKB_YEAST	0	24	60	0	0	0	0	33	11	0	0	0	0	37	0	1	0
SHM2	S000004048	GLYC_YEAST	0	4	5	1	0	0	0	8	1	0	0	0	0	1	0	0	0
ADH3	S000004688	ADH3_YEAST	0	6	2	0	0	0	0	0	3	0	0	0	0	0	0	2	0
FPR1	S000005079	FKBP_YEAST	0	22	22	0	0	0	0	13	5	0	0	0	0	16	0	0	0
THR4	S000000649	THRC_YEAST	0	5	4	0	0	0	0	3	5	0	0	0	0	0	0	0	0
URA1	S000001699	PYRD_YEAST	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OYE2	S000001222	OYE2_YEAST	0	1	1	0	0	0	0	9	0	0	0	0	0	2	0	0	0
PFY1	S000005648	PROF_YEAST	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
MRPL20	S000001793	RM20_YEAST	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
FRS1	S000004050	SYFB_YEAST	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
TSA2	S000002861	TSA2_YEAST	0	3	7	0	0	0	0	1	2	0	0	0	0	5	0	1	0
CHA1	S000000569	STDH_YEAST	0	9	0	1	0	0	0	3	4	0	0	0	1	0	0	0	1
TRX2	S000003441	TRX2_YEAST	0	6	26	0	1	2	0	6	6	3	0	0	0	14	1	10	1
TRX1	S000004033	TRX1_YEAST	0	9	45	0	1	2	0	8	5	0	0	2	0	33	0	6	0
HIS1	S000000857	HIS1_YEAST	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YOL019W	S000005379	YOL19_YEAST	0	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
MBF1	S000007253	MBF1_YEAST	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	3	1
DEF1	S000001537	DEF1_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR1	S000003513	YOR1_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOT13	S000001567	HOT13_YEAST	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MES1	S000003496	SYMC_YEAST	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0
LYS21	S000002289	HOSM_YEAST	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	10	1
LYS20	S000002341	HOSC_YEAST	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	11	1
CYC7	S000000765	CYC7_YEAST	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYC1	S000003809	CYC1_YEAST	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS29B	S000002219	RS29B_YEAST	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
SOD1	S000003865	SODC_YEAST	0	8	25	0	0	0	0	6	3	0	0	0	0	11	0	0	0
KAP95	S000004339	IMB1_YEAST	0	1	0	0	2	2	0	0	4	0	0	0	0	0	0	2	0
TMA19	S000001539	TCTP_YEAST	0	14	68	0	0	0	0	16	10	0	0	0	0	17	0	1	0
RFA3	S000003709	RFA3_YEAST	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
SCT1	S000000107	GPT1_YEAST	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APL4	S000006233	AP1G1_YEAST	0	1	2	1	2	0	0	0	2	2	0	2	0	0	0	3	1
